python read_test3.py --path /s3/mount/sagemaker/model/diffusion_model/deploy/Stable-diffusion --task 4

[process 3] file [artifex-auo-ingris02-cardos.safetensors] read time: 11.65 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-auo-ingris-cardos.safetensors] read time: 12.88 seconds, size: 2033.830132484436 MB
[process 0] file [Lyriel-1.5.safetensors] read time: 15.75 seconds, size: 2033.830138206482 MB
[process 2] file [artifex-auo-ingris-novelai.safetensors] read time: 16.15 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-gate-1-cardos.safetensors] read time: 12.91 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-g123-manga-local-translationtool-cardos.safetensors] read time: 12.80 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-auo-ingris02-novelai.safetensors] read time: 11.74 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-g123-manga-local-translationtool-novelai.safetensors] read time: 14.37 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-goblinslayer-妖精弓手-cardos.safetensors] read time: 18.64 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-goblinslayer-Goblin_test-novelai.safetensors] read time: 13.31 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-goblinslayer-Goblin_test-cardos.safetensors] read time: 21.96 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-gate-1-novelai.safetensors] read time: 22.91 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-IBUO-cardos.safetensors] read time: 11.58 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-HibiscusSyriacus-novelai.safetensors] read time: 12.00 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-HibiscusSyriacus-cardos.safetensors] read time: 11.82 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-goblinslayer-妖精弓手-novelai.safetensors] read time: 11.45 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-MIkaduki-cardos.safetensors] read time: 12.64 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-Luna-novelai.safetensors] read time: 12.86 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-Luna-cardos.safetensors] read time: 11.31 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-IBUO-novelai.safetensors] read time: 11.97 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-ViciaAmoenaFisch-cardos.safetensors] read time: 14.09 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-Mika_Pikazo-novelai.safetensors] read time: 15.63 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-Mika_Pikazo-cardos.safetensors] read time: 13.48 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-MIkaduki-novelai.safetensors] read time: 21.50 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-flower-cardos.safetensors] read time: 14.67 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-ViciaAmoenaFisch1-novelai.safetensors] read time: 13.79 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-ViciaAmoenaFisch1-cardos.safetensors] read time: 16.85 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-ViciaAmoenaFisch-novelai.safetensors] read time: 13.93 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-gandc_1-novelai.safetensors] read time: 19.59 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-gandc_2-cardos.safetensors] read time: 20.69 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-gandc_1-cardos.safetensors] read time: 18.31 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-flower-novelai.safetensors] read time: 14.65 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-gandc_3-novelai.safetensors] read time: 12.45 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-gandc_4-cardos.safetensors] read time: 13.98 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-gandc_2-novelai.safetensors] read time: 11.44 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-gandc_5-novelai.safetensors] read time: 9.19 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-gandc_otomo-cardos.safetensors] read time: 11.60 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-gandc_4-novelai.safetensors] read time: 11.32 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-kyo01-novelai.safetensors] read time: 10.64 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-kyo02-cardos.safetensors] read time: 9.60 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-kyo03-novelai.safetensors] read time: 10.20 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-gandc_otomo-novelai.safetensors] read time: 15.92 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-kyo04-cardos.safetensors] read time: 11.19 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-gandc_3-cardos.safetensors] read time: 47.69 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-kyo02-novelai.safetensors] read time: 12.11 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-manodemarina-novelai.safetensors] read time: 13.53 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-new1-cardos.safetensors] read time: 12.69 seconds, size: 2033.830132484436 MB
[process 1] file [artifex-isekaimaou-gandc_5-cardos.safetensors] read time: 13.05 seconds, size: 2033.830132484436 MB
[process 2] file [artifex-isekaimaou-new2-novelai.safetensors] read time: 11.61 seconds, size: 2033.830132484436 MB
[process 0] file [artifex-isekaimaou-kyo04-novelai.safetensors] read time: 12.18 seconds, size: 2033.830132484436 MB
[process 3] file [artifex-isekaimaou-new3-cardos.safetensors] read time: 12.53 seconds, size: 2033.830132484436 MB
